category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description
Network Topology and Connectivity,Scalability,Use an ingress controller to expose web-based apps instead of exposing them with LoadBalancer-type services,b3808b9f-a1cf-4204-ad01-3a923ce474db,,Medium,https://docs.microsoft.com/azure/aks/concepts-network,,,-1.0,,1.0,
Network Topology and Connectivity,Best practices,"If using AGIC, do not share an AppGW across clusters",cbd8ac2a-aebc-4a2a-94da-1dbf3dc99248,,Medium,https://azure.github.io/application-gateway-kubernetes-ingress/setup/install-existing/,,,-1.0,1.0,,
Network Topology and Connectivity,Cost,Use Private Endpoints (preferred) or Virtual Network Service Endpoints to access PaaS services from the cluster,c3c39c98-6bb2-4c12-859a-114b5e3df584,,Medium,https://docs.microsoft.com/azure/private-link/private-link-overview,,,-1.0,1.0,,
Network Topology and Connectivity,Security,Use private clusters if your requirements mandate it,ecccd979-3b6b-4cda-9b50-eb2eb03dda6d,,High,https://docs.microsoft.com/azure/aks/private-clusters,"where type=='microsoft.containerservice/managedclusters' | where isnotnull(properties.apiServerAccessProfile.enablePrivateCluster) | extend compliant = (properties.apiServerAccessProfile.enablePrivateCluster==true) | distinct id, compliant",,-1.0,1.0,,
Network Topology and Connectivity,Security,Enable a Kubernetes Network Policy option (Calico/Azure),58d7c892-ddb1-407d-9769-ae669ca48e4a,,High,https://docs.microsoft.com/azure/aks/use-network-policies,"where type=='microsoft.containerservice/managedclusters' | extend compliant = isnotnull(properties.networkProfile.networkPolicy) | distinct id,compliant",,,1.0,,
Network Topology and Connectivity,Security,Use Kubernetes network policies to increase intra-cluster security,85e2223e-ce8b-4b12-907c-a5f16f158e3e,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-network,,,-1.0,1.0,,
Network Topology and Connectivity,Security,Use a WAF for web workloads (UIs or APIs),a3a92c2d-e7e2-4165-a3a8-7af4a7a1f893,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-network,,-1.0,-1.0,2.0,,
Network Topology and Connectivity,Security,Use DDoS Standard in the AKS Virtual Network,9bda4776-8f24-4c11-9775-c2ea55b46a94,,Medium,https://docs.microsoft.com/azure/virtual-network/ddos-protection-overview,"Resources | where type=~'microsoft.containerservice/managedclusters' | project resourceGroup,name,pools=properties.agentPoolProfiles | mv-expand pools | project subnetId=tostring(pools.vnetSubnetID) | where isnotempty(subnetId) | join (Resources | where type=='microsoft.network/virtualnetworks' | project id,resourceGroup,name,enableDdosProtection=tostring(properties.enableDdosProtection),subnets=properties.subnets | mv-expand subnets | project id,resourceGroup,name,enableDdosProtection,subnetId=tostring(subnets.id)) on subnetId | distinct id,resourceGroup,name,enableDdosProtection | extend compliant = (enableDdosProtection == 'true')",-2.0,,2.0,,
Network Topology and Connectivity,Best practices,Do not use AKS Application Routing Add-On,8008ae7d-7e4b-4475-a6c8-bdbf59bce65d,,High,https://docs.microsoft.com/azure/aks/http-application-routing,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnull(properties.addonProfiles.httpApplicationRouting) or properties.addonProfiles.httpApplicationRouting.enabled==false) | distinct id,compliant",,-1.0,,1.0,
Network Topology and Connectivity,Best practices,Use the standard ALB (as opposed to the basic one),ba7da7be-9952-4914-a384-5d997cb39132,,High,https://docs.microsoft.com/azure/aks/load-balancer-standard,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (tolower(properties.networkProfile.loadBalancerSku)=='standard') | distinct id,compliant",,,,1.0,
Network Topology and Connectivity,HA,"If hybrid connectivity is required, use 2xER or ER+VPN for better availability",e8a03f97-8794-468d-96a7-86d60f96c97b,1.0,Medium,https://docs.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering,,-1.0,,,,
Network Topology and Connectivity,Security,Consider using a service mesh for advanced microservice communication management,e9855d04-c3c3-49c9-a6bb-2c12159a114b,,Medium,https://docs.microsoft.com/azure/aks/servicemesh-about,,,-2.0,1.0,,
Governance and Security,Secrets,Store your secrets in Azure Key Vault with the CSI Secrets Store driver,5e3df584-eccc-4d97-a3b6-bcda3b50eb2e,,Medium,https://github.com/Azure/secrets-store-csi-driver-provider-azure,,,-1.0,1.0,,
Governance and Security,Secrets,"If user Service Principals for the cluster, refresh credentials periodically (like quarterly)",b03dda6d-58d7-4c89-8ddb-107d5769ae66,,High,https://docs.microsoft.com/azure/aks/update-credentials,,,,1.0,,
Governance and Security,Compliance,Use Azure Policy for Kubernetes to ensure cluster compliance,9ca48e4a-85e2-4223-bce8-bb12307ca5f1,,Medium,https://docs.microsoft.com/azure/governance/policy/concepts/policy-for-kubernetes,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.azurepolicy) and properties.addonProfiles.azurepolicy.enabled==true) | distinct id,compliant",,-1.0,1.0,,
Governance and Security,Compliance,Separate applications from the control plane with user/system nodepools,6f158e3e-a3a9-42c2-be7e-2165c3a87af4,,Medium,https://docs.microsoft.com/azure/aks/use-system-pools,"where type=='microsoft.containerservice/managedclusters' | project id,resourceGroup,name,pools=properties.agentPoolProfiles | project id,name,resourceGroup,poolcount=array_length(pools) | extend compliant = (poolcount > 1)",-1.0,-1.0,1.0,,
Governance and Security,Compliance,Add taint to your system nodepool to make it dedicated,a7a1f893-9bda-4477-98f2-4c116775c2ea,1.0,Low,https://docs.microsoft.com/azure/aks/use-system-pools,,,-1.0,,,
Governance and Security,Compliance,"Use a private registry for your images, such as ACR",55b46a94-8008-4ae7-b7e4-b475b6c8bdbf,,Medium,https://docs.microsoft.com/azure/container-registry/,,,-1.0,1.0,,
Governance and Security,Compliance,Scan your images for vulnerabilities,59bce65d-e8a0-43f9-9879-468d66a786d6,,Medium,https://docs.microsoft.com/azure/security-center/container-security,,-1.0,,1.0,,
Governance and Security,Compliance,Use Azure Security Center to detect security posture vulnerabiities,cc639637-a652-42ac-89e8-06965388e9de,,Medium,https://docs.microsoft.com/azure/security-center/container-security,,-1.0,,1.0,,
Governance and Security,Compliance,Define app separation requirements (namespace/nodepool/cluster),d167dd18-2b0a-4c24-8b99-9a646f8389a7,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-cluster-isolation,,,,1.0,,
Cost Governance,Cost,Use an external application such as kubecost to allocate custs to different users,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Low,https://docs.microsoft.com/azure/cloud-adoption-framework/scenarios/aks/eslz-cost-governance-with-kubecost,,1.0,,,,
Operations,Storage,Use ephemeral OS disks,24367b33-6971-45b1-952b-eee0b9b588de,,High,https://docs.microsoft.com/azure/aks/cluster-configuration,"where type=='microsoft.containerservice/managedclusters' | project id,resourceGroup,name,pools=properties.agentPoolProfiles | mvexpand pools | extend compliant = (pools.osDiskType=='Ephemeral') | project id,name=strcat(name,'-',pools.name), resourceGroup, compliant",-1.0,,,1.0,
Operations,Storage,"For non-ephemeral disks, use high IOPS and larger OS disks for the nodes when running many pods/node since it require high performance for running multiple pods and will generate huge logs with default AKS log rotation thresholds",fc4972cc-3cd2-45bf-a707-6e9eab4bed32,,High,https://docs.microsoft.com/azure/virtual-machines/disks-types,,-1.0,,,1.0,
Operations,Storage,"Avoid keeping state in the cluster, and store data outside (AzStorage, AzSQL, Cosmos, etc)",9f7547c1-747d-4c56-868a-714435bd19dd,1.0,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-multi-region,,,-1.0,,,
Operations,Storage,"If using AzFiles Standard, consider AzFiles Premium and/or ANF for performance reasons",24429eb7-2281-4376-85cc-57b4a4b18142,,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-storage,,-1.0,,,1.0,
Operations,Storage,"If using Azure Disks and AZs, consider having nodepools within a zone for LRS disk with VolumeBindingMode:WaitForFirstConsumer for provisioning storage in right zone or use ZRS disk for nodepools spanning multiple zones",83958a8c-2689-4b32-ab57-cfc64546135a,1.0,Medium,https://docs.microsoft.com/azure/aks/availability-zones#azure-disk-availability-zone-support,,,-1.0,,,
Operations,Compliance,Check regularly Azure Advisor for recommendations on your cluster,337453a3-cc63-4963-9a65-22ac19e80696,1.0,Low,https://docs.microsoft.com/azure/advisor/advisor-get-started,,,-1.0,,,
Operations,Compliance,Develop your YAML manifests with intelligent text editors such as vscode+kubeadvisor,5388e9de-d167-4dd1-a2b0-ac241b999a64,,Low,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,1.0,,,
Operations,Monitoring,Monitor your cluster metrics with Container Insights (or other tools like Prometheus),6f8389a7-f82c-4b8e-a8c0-aa63a25a4956,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-overview,,,-1.0,,,
Operations,Monitoring,Store and analyze your cluster logs with Container Insights (or other tools like Telegraf/ElasticSearch),eaa8dc4a-2436-47b3-9697-15b1752beee0,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-overview,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.omsagent) and properties.addonProfiles.omsagent.enabled==true) | distinct id,compliant",,-1.0,,,
Operations,Alerting,Configure alerts on the most critical metrics (see Container Insights for recommendations),67f7a9ed-5b31-4f38-a3f3-9812b2463cff,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-metric-alerts,,,-1.0,,,
Operations,Compliance,"Have a regular process to upgrade your kubernetes version periodically (quarterly, for example), or use the AKS autoupgrade feature",e189c599-df0d-45a7-9dd4-ce32c1881370,,High,https://docs.microsoft.com/azure/aks/supported-kubernetes-versions,,,-1.0,1.0,,
Operations,Compliance,Use kured for Linux node upgrades in case you are not using node-image upgrade,6f7c4c0d-4e51-4464-ad24-57ed67138b82,,High,https://docs.microsoft.com/azure/aks/node-updates-kured,,,-1.0,,,
Operations,Compliance,"Have a regular process to upgrade the cluster node images periodically (weekly, for example)",139c9580-ade3-426a-ba09-cf157d9f6477,,High,https://docs.microsoft.com/azure/aks/node-image-upgrade,,,-1.0,1.0,,
Operations,Compliance,Consider gitops to deploy applications or cluster configuration to multiple clusters,0102ce16-ee30-41e6-b882-e52e4621dd68,,Low,https://docs.microsoft.com/azure/architecture/example-scenario/bedrock/bedrock-automated-deployments,,,,,,
Operations,Cost,Consider spot node pools for non time-sensitive workloads,c5a5b252-1e44-4a59-a9d2-399c4d7b68d0,,Low,https://docs.microsoft.com/azure/aks/spot-node-pool,,1.0,-1.0,,,
Operations,Cost,Consider AKS virtual node for quick bursting,c755562f-2b4e-4456-9b4d-874a748b662e,,Low,https://docs.microsoft.com/azure/aks/concepts-scale,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.aciConnectorLinux) and properties.addonProfiles.aciConnectorLinux.enabled==true) | distinct id,compliant",,-1.0,,1.0,
Operations,Compliance,Develop own governanance practices to make sure no changes are performed by operators in the node RG (aka 'infra RG'),31d7aaab-7571-4449-ab80-53d89e89d17b,,High,https://docs.microsoft.com/azure/aks/faq,,,,1.0,,
Operations,Compliance,Use custom Node RG (aka 'Infra RG') name,73b32a5a-67f7-4a9e-b5b3-1f38c3f39812,,Low,https://docs.microsoft.com/azure/aks/cluster-configuration,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.nodeResourceGroup !startswith 'MC_') | distinct id,compliant",,1.0,,,
Operations,Compliance,Do not use deprecated Kubernetes APIs in your YAML manifests,b2463cff-e189-4c59-adf0-d5a73dd4ce32,1.0,Medium,https://kubernetes.io/docs/setup/release/notes/,,,-1.0,,,
Operations,Compliance,Taint Windows nodes,c1881370-6f7c-44c0-b4e5-14648d2457ed,1.0,Low,https://docs.microsoft.com/azure-stack/aks-hci/adapt-apps-mixed-os-clusters,,,-1.0,,,
Operations,Compliance,Keep windows containers patch level in sync with host patch level,67138b82-0102-4ce1-9ee3-01e6e882e52e,,Low,https://docs.microsoft.com/virtualization/windowscontainers/deploy-containers/version-compatibility?tabs=windows-server-20H2%2Cwindows-10-20H2,,,,,,
Operations,Monitoring,Monitor CPU and memory utilization of the nodes,4621dd68-c5a5-4be2-bdb1-1726769ef669,1.0,Medium,https://docs.microsoft.com/azure/azure-monitor/containers/container-insights-analyze,,,-1.0,,,
Operations,Monitoring,"If using Azure CNI, monitor % of pod IPs consumed per node",1a4835ac-9422-423e-ae80-b123081a5417,1.0,Medium,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,-1.0,,,
Operations,Monitoring,Monitor OS disk queue depth in nodes,415833ea-3ad3-4c2d-b733-165c3acbe04b,1.0,Medium,https://docs.microsoft.com/azure/virtual-machines/premium-storage-performance,,,-1.0,,,"I/O in the OS disk is a critical resource. If the OS in the nodes gets throttled on I/O, this could lead to unpredictable behavior, typically ending up in node being declared NotReady"
Operations,Monitoring,"If not using egress filtering with AzFW/NVA, monitor standard ALB allocated SNAT ports",be209d39-fda4-4777-a424-d116785c2fa5,1.0,Medium,https://docs.microsoft.com/azure/aks/load-balancer-standard,,,-1.0,,,
Operations,Monitoring,Subscribe to resource health notifications for your AKS cluster,74c2ee76-569b-4a79-a57e-dedf91b022c9,1.0,Medium,https://docs.microsoft.com/azure/aks/aks-resource-health,,,,,,
Operations,Compliance,Send master logs (aka API logs) to Azure Monitor or your preferred log management solution,5b56ad48-408f-4e72-934c-476ba280dcf5,1.0,Low,https://docs.microsoft.com/azure/aks/monitor-aks,,-1.0,,,,Via Diagnostic Settings at the cluster level
Operations,Scalability,Use the Cluster Autoscaler,90ce65de-8e13-4f9c-abd4-69266abca264,1.0,Medium,https://docs.microsoft.com/azure/aks/concepts-scale,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.austoscalerProfile)) | distinct id,compliant",-1.0,,,,
Operations,Scalability,Use the Horizontal Pod Autoscaler when required,faa19bfe-9d55-4d04-a3c4-919ca1b2d121,,Medium,https://docs.microsoft.com/azure/aks/concepts-scale,,,-1.0,,1.0,
Operations,Scalability,"Consider an appropriate node size, not too large or too small",5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,High,https://blog.cloudtrooper.net/2020/10/23/which-vm-size-should-i-choose-as-aks-node/,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
Operations,Resources,Configure requests and limits in your pod specs,b54eb2eb-03dd-4aa3-9927-18e2edb11726,1.0,High,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,-1.0,,,
Operations,Resources,Enforce resource quotas for namespaces,769ef669-1a48-435a-a942-223ece80b123,1.0,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,-1.0,,,
Operations,Resources,Ensure your subscription has enough quota to scale out your nodepools,081a5417-4158-433e-a3ad-3c2de733165c,,High,https://docs.microsoft.com/azure/azure-resource-manager/management/azure-subscription-service-limits,,1.0,,,,
Application Deployment,Infrastructure as Code,Use automation through ARM/TF to create your Azure resources,3acbe04b-be20-49d3-afda-47778424d116,1.0,Medium,https://docs.microsoft.com/azure/developer/terraform/create-k8s-cluster-with-tf-and-aks,,,-1.0,,,
Application Deployment,Development,Use canary or blue/green deployments,785c2fa5-5b56-4ad4-a408-fe72734c476b,,Medium,https://docs.microsoft.com/azure/architecture/reference-architectures/containers/aks/secure-baseline-aks,,1.0,,,,
Application Deployment,Development,Use KEDA if running event-driven workloads,a280dcf5-90ce-465d-b8e1-3f9ccbd46926,,Low,https://docs.microsoft.com/azure/azure-functions/functions-kubernetes-keda,,,-1.0,,1.0,
Application Deployment,Development,Use Dapr to ease microservice development,26886d20-b66c-457b-a591-19bf8e8f5c58,,Low,https://dapr.io/,,,1.0,,,
Governance and Security,security,Scan the container image against vulnerabilities,95afbad0-f085-49d6-a82b-5fe798691318,,High,https://docs.microsoft.com/en-us/azure/security-center/azure-container-registry-integration,,,,,,Scan your container images to ensure there are no vulnerabilities in it
Governance and Security,security,Allow deploying containers only from known registries,97e9ec02-01bc-42a0-8d91-133fdf0791ab,,Medium,https://docs.microsoft.com/en-us/azure/governance/policy/concepts/rego-for-aks#built-in-policies,,,,,,One of the most common custom policies that you might want to consider is to restrict the images that can be deployed in your cluster. But it can also be addressed with a proper egress lockdown or using an admission controller
Governance and Security,security,Runtime Security of Applications,d4d39e95-b7d3-43e1-b37f-09e180e00583,,High,https://docs.paloaltonetworks.com/prisma/prisma-cloud/prisma-cloud-admin-compute/runtime_defense.html,,,,,,"Integrate Runtime Security for your pods.  To complete the defense in depth structure, ensure Runtime protection is in place to protect from process, network, storage and system call attacks."
Governance and Security,security,Quarantine of Docker Images in Docker Registries that have discovered issues,75372e8b-b3aa-46d0-9ded-3c41099c5403,,High,https://github.com/Azure/acr/tree/master/docs/preview/quarantine,,,,,,"Use policy to protect images from drift while in the registry, on both push and pull."
Governance and Security,security,Role-Based Access Contol (RBAC) to Docker Registries,05d04800-1b93-4d34-beca-2e91a3127643,,High,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-roles,,,,,,"The Azure Container Registry service supports a set of built-in Azure roles that provide different levels of permissions to an Azure container registry. Use Azure role-based access control (RBAC) to assign specific permissions to users, service principals, or other identities that need to interact with a registry."
Governance and Security,network,Network Segmentation of Docker Registries,016ec725-75ef-4daa-8715-6af6768f3ad2,,High,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-private-link,,,,,,"Limit access to a registry by assigning virtual network private IP addresses to the registry endpoints and using Azure Private Link. Network traffic between the clients on the virtual network and the registry's private endpoints traverses the virtual network and a private link on the Microsoft backbone network, eliminating exposure from the public internet. Private Link also enables enables private registry access from on-premises through Azure ExpressRoute private peering or a VPN gateway."
Governance and Security,security,Prefer distroless images,579e48a6-552c-45ee-9840-8bf51664eeea,,Medium,https://github.com/GoogleContainerTools/distroless,,,,,,"When building a docker image, try to use the distroless version of the base OS image, to reduce the risk of vulnerabilities with preinstalled but unused tools. From example, use base-debian10 instead of debian10"
Governance and Security,security,IP Range authorization,6c42c65c-9a8c-44fe-a44b-b58d6af6fb4a,,High,https://docs.microsoft.com/en-us/azure/aks/api-server-authorized-ip-ranges,,,,,,"The API server is the central way to interact with your cluster. To improve cluster security and minimize attacks, the API server should only be accessible from a limited set of IP address ranges.By using a private cluster, you can ensure that network traffic between your API server and your node pools remains on the private network only. Because the API server has a private address, it means that to access it for administration or for deployment, you need to set up a private connection, like using a 'jumpbox' (i.e.: Azure Bastion)"
Governance and Security,security,Use System Node Pools,84c6bc9a-ce76-4a7b-b790-c8484c34d578,,Medium,https://docs.microsoft.com/en-us/azure/aks/use-system-pools,,,,,,Manage system node pools in Azure Kubernetes Service (AKS)
Governance and Security,security,Configure your cluster for regulated industries,9ce8a2d4-36a2-4d1a-9b33-7454c9bebb7a,,Medium,https://docs.microsoft.com/en-us/azure/aks/use-multiple-node-pools#add-a-fips-enabled-node-pool-preview,,,,,,Some industries require certified kubernetes or to implement specific configurations. AKS offers several features to meet this requirements
Governance and Security,security,Private cluster,fad2a4ab-89d3-462c-97de-c2ec80438d6e,,High,https://docs.microsoft.com/en-us/azure/aks/private-clusters,,,,,,"In a private cluster, the control plane or API server has internal IP addresses and is not exposed to Internet"
Governance and Security,resources,Refresh container when base image is updated,ad9aaad2-2809-484e-8d3c-ca48da9a34b1,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-container-image-management#automatically-build-new-images-on-base-image-update,,,,,,"As you use base images for application images, use automation to build new images when the base image is updated. As those base images typically include security fixes, update any downstream application container images."
Governance and Security,security,Check if you need the Kubernetes dashboard,914c203f-23fb-4fba-b55c-5f1bde6b07cd,,Medium,,,,,,,"Starting with Kubernetes version 1.19, AKS will no longer allow the managed Kubernetes dashboard add-on to be installed for security reasons, and the add-on is scheduled to be deprecated. Ensure the Kubernetes dashboard is not installed on the cluster."
Governance and Security,security,Use AKS and ACR integration without password,9bce59cf-27e7-47cb-9acb-c39608e2b666,,Medium,https://docs.microsoft.com/en-us/azure/aks/cluster-container-registry-integration,,,,,,"AKS can authenticate to ACR without using any password, but by using either Service Principal or Managed Identity."
Governance and Security,security,Encrypt ETCD at rest with your own key,6f99a880-5a7a-46d1-ba78-c3b2729f2e03,,Low,https://docs.microsoft.com/en-us/azure/aks/use-kms-etcd-encryption,,,,,,"By default, ETCD is encrypted at rest with keys managed by Microsoft. It is possible to encrypt the database using your own key using a KMS plugin and store the key in Azure Key Vault."
Application Deployment,development,Implement a proper Liveness probe,3f9a3307-461f-48e9-a826-28c85a991670,,High,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,"Many applications running for long periods of time eventually transition to broken states, and cannot recover except by being restarted. Kubernetes provides liveness probes to detect and remedy such situations. The probe is here to tell Kubernetes to restart your pod when it is not responding anymore"
Application Deployment,development,Implement a proper Startup probe,409a2d62-db32-49e2-b764-f922bf597cda,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,Protect slow starting containers with startup probes. Startup probe allow to delay the initial check by liveness which could cause deadlock or wrong result
Application Deployment,development,Implement a proper Readiness probe,d8cf76ba-faa4-483d-bb65-bf17d18cd18e,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,"Sometimes, applications are temporarily unable to serve traffic. For example, an application might need to load large data or configuration files during startup, or depend on external services after startup. In such cases, you donâ€™t want to kill the application, but you donâ€™t want to send it requests either. Kubernetes provides readiness probes to detect and mitigate these situations. A pod with containers reporting that they are not ready does not receive traffic through Kubernetes Services."
Application Deployment,development,Implement a proper prestop hook,1c4ef5de-badb-4da2-bd32-e6f27d186dd0,,Low,https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/,,,,,,"This hook is called immediately before a container is terminated due to an API request or management event such as liveness probe failure, preemption, resource contention and others. It can be used when you have critical process you want to finish or save when your pod is destroyed for any reason"
Application Deployment,development,Run more than one replica for your Deployment,1fe9c7c1-bee2-4cd6-9860-560addb9854d,,Medium,,,,,,,Ensure that your application always configure proper replicas to ensure resiliency in the event of a pod crashing or being evicted.
Application Deployment,development,Apply tags to all resources,5b0e3bcf-6638-4b84-9987-29246fdf5d89,,Medium,,,,,,,"Ensure that your components are tagged, it could be business, security or technical tags and these tags will help to assess or apply relevant policies."
